Campaign_ID,Campaign_Name,Campaign_Type,Start_Date,End_Date,Region,Location,Channel,Budget,Spend,Leads_Generated,Leads_Converted,Conversion_Rate,Cost_Per_Lead,Year
1094,Paid Search - Bing Ads 2020,Paid Search,2020-01-25,2020-02-08,EMEA,"Amsterdam, NL",Bing Ads,23596.0,23323.0,459,232,50.54,50.81,2020
1095,Webinar - Thought Leadership 2020,Webinar,2020-02-03,2020-03-30,North America,"Toronto, ON",Thought Leadership,17943.0,17119.0,556,271,48.74,30.79,2020
1096,Events - Field Event 2020,Events,2020-06-28,2020-07-12,North America,"New York, NY",Field Event,34529.0,21733.0,507,124,24.46,42.87,2020
1097,Display - Programmatic 2020,Display,2020-03-10,2020-05-05,North America,"Toronto, ON",Programmatic,13767.0,10574.0,41,5,12.2,257.9,2020
1098,Email - Newsletter 2020,Email,2020-05-31,2020-07-26,APAC,"Bengaluru, IN",Newsletter,3160.0,1721.0,448,105,23.44,3.84,2020
1099,Email - Drip Sequence 2020,Email,2020-08-07,2020-09-04,North America,"Toronto, ON",Drip Sequence,2003.0,1555.0,42,4,9.52,37.02,2020
1100,Email - Newsletter 2020,Email,2020-03-02,2020-03-16,EMEA,"Amsterdam, NL",Newsletter,6289.0,4773.0,288,71,24.65,16.57,2020
1101,Webinar - Product Demo 2020,Webinar,2020-11-19,2020-12-17,EMEA,"London, UK",Product Demo,46976.0,43580.0,652,268,41.1,66.84,2020
1102,Webinar - Thought Leadership 2020,Webinar,2020-05-18,2020-07-13,North America,"Toronto, ON",Thought Leadership,49756.0,43447.0,111,76,68.47,391.41,2020
1103,SEO - Organic Search 2020,SEO,2020-01-13,2020-02-03,North America,"Toronto, ON",Organic Search,6619.0,5072.0,70,10,14.29,72.46,2020
1104,SEO - Organic Search 2020,SEO,2020-02-07,2020-04-03,North America,"Toronto, ON",Organic Search,8490.0,7146.0,180,49,27.22,39.7,2020
1105,Paid Search - Google Ads 2020,Paid Search,2020-11-15,2020-12-31,EMEA,"Amsterdam, NL",Google Ads,25951.0,25157.0,275,157,57.09,91.48,2020
1106,Email - Newsletter 2020,Email,2020-10-17,2020-11-28,North America,"New York, NY",Newsletter,9332.0,9291.0,46,8,17.39,201.98,2020
1107,Webinar - Thought Leadership 2020,Webinar,2020-10-22,2020-12-17,North America,"New York, NY",Thought Leadership,39400.0,39400.0,718,386,53.76,54.87,2020
1108,Email - Drip Sequence 2020,Email,2020-06-01,2020-06-15,North America,"Chicago, IL",Drip Sequence,3248.0,2538.0,293,31,10.58,8.66,2020
1109,Content - Case Study 2020,Content,2020-05-13,2020-06-10,APAC,"Singapore, SG",Case Study,4202.0,3480.0,110,30,27.27,31.64,2020
1110,Paid Search - Bing Ads 2020,Paid Search,2020-10-15,2020-11-19,EMEA,"Dublin, IE",Bing Ads,45053.0,43165.0,319,180,56.43,135.31,2020
1111,Paid Search - Bing Ads 2020,Paid Search,2020-10-15,2020-12-03,APAC,"Singapore, SG",Bing Ads,22243.0,20663.0,725,404,55.72,28.5,2020
1112,Paid Search - Google Ads 2020,Paid Search,2020-04-27,2020-06-15,North America,"Dallas, TX",Google Ads,75180.0,64448.0,674,305,45.25,95.62,2020
1113,Paid Search - Bing Ads 2020,Paid Search,2020-06-21,2020-07-12,North America,"Dallas, TX",Bing Ads,68538.0,60531.0,612,334,54.58,98.91,2020
1114,Webinar - Thought Leadership 2020,Webinar,2020-10-09,2020-11-20,EMEA,"Berlin, DE",Thought Leadership,15779.0,12464.0,328,221,67.38,38.0,2020
1115,Email - Newsletter 2020,Email,2020-08-05,2020-09-16,North America,"Dallas, TX",Newsletter,9783.0,9231.0,112,23,20.54,82.42,2020
1116,Content - eBook 2020,Content,2020-06-19,2020-07-24,North America,"New York, NY",eBook,10147.0,9473.0,220,57,25.91,43.06,2020
1117,Paid Search - Bing Ads 2020,Paid Search,2020-10-13,2020-11-03,North America,"Dallas, TX",Bing Ads,75176.0,65357.0,451,263,58.31,144.92,2020
1118,Paid Search - Bing Ads 2020,Paid Search,2020-09-23,2020-11-18,North America,"New York, NY",Bing Ads,54560.0,41441.0,263,116,44.11,157.57,2020
1119,Display - Retargeting 2020,Display,2020-11-04,2020-11-18,APAC,"Seoul, KR",Retargeting,39409.0,35898.0,21,2,9.52,1709.43,2020
1120,Social - X Promoted 2020,Social,2020-10-20,2020-11-10,EMEA,"Berlin, DE",X Promoted,13070.0,10465.0,49,11,22.45,213.57,2020
1121,Social - X Promoted 2020,Social,2020-06-30,2020-07-14,North America,"Chicago, IL",X Promoted,6990.0,6324.0,420,67,15.95,15.06,2020
1122,Webinar - Product Demo 2020,Webinar,2020-03-03,2020-03-31,EMEA,"Amsterdam, NL",Product Demo,14757.0,11724.0,424,235,55.42,27.65,2020
1123,Webinar - Product Demo 2020,Webinar,2020-12-07,2020-12-31,North America,"Toronto, ON",Product Demo,31566.0,28733.0,666,270,40.54,43.14,2020
1124,Webinar - Product Demo 2020,Webinar,2020-08-02,2020-08-30,North America,"New York, NY",Product Demo,34442.0,32103.0,582,372,63.92,55.16,2020
1125,Paid Search - Google Ads 2020,Paid Search,2020-01-19,2020-02-09,North America,"Chicago, IL",Google Ads,53536.0,42319.0,679,333,49.04,62.33,2020
1126,Paid Search - Bing Ads 2020,Paid Search,2020-04-22,2020-05-13,North America,"New York, NY",Bing Ads,31485.0,27268.0,422,235,55.69,64.62,2020
1127,Webinar - Thought Leadership 2020,Webinar,2020-09-22,2020-10-13,North America,"San Jose, CA",Thought Leadership,20093.0,17149.0,792,477,60.23,21.65,2020
1128,Social - X Promoted 2020,Social,2020-12-14,2020-12-28,EMEA,"London, UK",X Promoted,17600.0,14899.0,30,6,20.0,496.63,2020
1129,Webinar - Thought Leadership 2020,Webinar,2020-03-07,2020-04-04,North America,"Toronto, ON",Thought Leadership,34160.0,27405.0,364,249,68.41,75.29,2020
1130,Content - Case Study 2020,Content,2020-10-14,2020-12-02,APAC,"Tokyo, JP",Case Study,5538.0,4889.0,112,16,14.29,43.65,2020
1131,SEO - Organic Search 2020,SEO,2020-05-30,2020-07-11,EMEA,"Dublin, IE",Organic Search,9242.0,6340.0,95,18,18.95,66.74,2020
1132,Email - Newsletter 2020,Email,2020-01-02,2020-01-16,North America,"San Jose, CA",Newsletter,8958.0,8905.0,123,16,13.01,72.4,2020
1133,Webinar - Product Demo 2020,Webinar,2020-09-17,2020-10-29,EMEA,"Amsterdam, NL",Product Demo,23221.0,21346.0,325,146,44.92,65.68,2020
1134,Social - X Promoted 2020,Social,2020-12-07,2020-12-31,APAC,"Seoul, KR",X Promoted,19077.0,19077.0,25,4,16.0,763.08,2020
1135,Paid Search - Google Ads 2020,Paid Search,2020-07-27,2020-09-14,North America,"New York, NY",Google Ads,32808.0,29049.0,107,42,39.25,271.49,2020
1136,Paid Search - Google Ads 2020,Paid Search,2020-10-04,2020-11-01,North America,"San Jose, CA",Google Ads,71693.0,66107.0,141,85,60.28,468.84,2020
1137,Paid Search - Bing Ads 2020,Paid Search,2020-12-06,2020-12-27,North America,"Chicago, IL",Bing Ads,58243.0,51397.0,470,247,52.55,109.36,2020
1138,Webinar - Thought Leadership 2020,Webinar,2020-03-16,2020-05-11,EMEA,"Amsterdam, NL",Thought Leadership,26725.0,23840.0,551,365,66.24,43.27,2020
1139,Content - Blog 2020,Content,2020-07-08,2020-07-29,APAC,"Sydney, AU",Blog,6629.0,5702.0,422,68,16.11,13.51,2020
1140,Email - Drip Sequence 2020,Email,2020-06-29,2020-08-03,EMEA,"London, UK",Drip Sequence,7490.0,5049.0,566,117,20.67,8.92,2020
1141,Paid Search - Google Ads 2020,Paid Search,2020-08-19,2020-09-16,North America,"Dallas, TX",Google Ads,70485.0,56648.0,748,277,37.03,75.73,2020
1142,Display - Programmatic 2020,Display,2020-11-07,2020-11-21,North America,"Dallas, TX",Programmatic,15942.0,12040.0,131,9,6.87,91.91,2020
1143,Paid Search - Google Ads 2020,Paid Search,2020-07-19,2020-08-09,North America,"Dallas, TX",Google Ads,60385.0,46062.0,513,233,45.42,89.79,2020
1144,Email - Newsletter 2020,Email,2020-03-01,2020-03-29,North America,"Toronto, ON",Newsletter,3639.0,3316.0,95,23,24.21,34.91,2020
1145,Email - Newsletter 2020,Email,2020-04-11,2020-05-02,APAC,"Bengaluru, IN",Newsletter,8667.0,6820.0,464,114,24.57,14.7,2020
1146,Display - Retargeting 2020,Display,2020-01-17,2020-02-07,North America,"Dallas, TX",Retargeting,35470.0,33233.0,105,12,11.43,316.5,2020
1147,Email - Drip Sequence 2020,Email,2020-07-16,2020-07-30,APAC,"Tokyo, JP",Drip Sequence,8609.0,8390.0,128,12,9.38,65.55,2020
1148,Display - Programmatic 2020,Display,2020-09-22,2020-11-17,North America,"New York, NY",Programmatic,19182.0,14119.0,22,1,4.55,641.77,2020
1149,Paid Search - Google Ads 2020,Paid Search,2020-06-24,2020-07-15,EMEA,"Dublin, IE",Google Ads,61786.0,61190.0,655,227,34.66,93.42,2020
1150,Content - eBook 2020,Content,2020-04-12,2020-04-26,EMEA,"London, UK",eBook,10693.0,9303.0,176,38,21.59,52.86,2020
1151,Email - Drip Sequence 2020,Email,2020-07-01,2020-08-26,EMEA,"London, UK",Drip Sequence,6459.0,5636.0,315,62,19.68,17.89,2020
1152,Paid Search - Google Ads 2020,Paid Search,2020-07-28,2020-08-11,North America,"San Jose, CA",Google Ads,48687.0,40647.0,264,88,33.33,153.97,2020
1153,Webinar - Product Demo 2020,Webinar,2020-09-03,2020-10-15,North America,"San Jose, CA",Product Demo,37788.0,34715.0,591,229,38.75,58.74,2020
1154,Webinar - Thought Leadership 2020,Webinar,2020-01-29,2020-03-18,EMEA,"Paris, FR",Thought Leadership,18436.0,13648.0,775,377,48.65,17.61,2020
1155,Email - Drip Sequence 2020,Email,2020-12-05,2020-12-31,APAC,"Seoul, KR",Drip Sequence,4624.0,3881.0,246,33,13.41,15.78,2020
1156,Webinar - Thought Leadership 2020,Webinar,2020-11-19,2020-12-10,North America,"Dallas, TX",Thought Leadership,35280.0,32666.0,838,388,46.3,38.98,2020
1157,Social - X Promoted 2020,Social,2020-07-16,2020-09-10,North America,"San Jose, CA",X Promoted,28870.0,28606.0,43,10,23.26,665.26,2020
1158,Email - Drip Sequence 2020,Email,2020-07-17,2020-08-21,North America,"Dallas, TX",Drip Sequence,6867.0,5528.0,172,18,10.47,32.14,2020
1159,Social - Facebook Ads 2020,Social,2020-04-16,2020-05-07,North America,"Chicago, IL",Facebook Ads,22208.0,18382.0,349,79,22.64,52.67,2020
1160,Content - Case Study 2020,Content,2020-01-05,2020-02-16,North America,"New York, NY",Case Study,12594.0,12594.0,312,87,27.88,40.37,2020
1161,Social - LinkedIn Ads 2020,Social,2020-08-14,2020-10-02,EMEA,"Dublin, IE",LinkedIn Ads,26260.0,19530.0,90,21,23.33,217.0,2020
1162,Paid Search - Google Ads 2020,Paid Search,2020-12-22,2020-12-31,EMEA,"Amsterdam, NL",Google Ads,37674.0,35526.0,394,232,58.88,90.17,2020
1163,SEO - Organic Search 2020,SEO,2020-01-09,2020-03-05,EMEA,"Amsterdam, NL",Organic Search,17327.0,16941.0,73,14,19.18,232.07,2020
1164,Content - eBook 2020,Content,2020-02-07,2020-03-06,North America,"Chicago, IL",eBook,6972.0,5432.0,211,30,14.22,25.74,2020
1165,SEO - Organic Search 2020,SEO,2020-03-21,2020-04-11,North America,"New York, NY",Organic Search,16303.0,16251.0,52,13,25.0,312.52,2020
1166,Email - Drip Sequence 2020,Email,2020-02-25,2020-03-17,EMEA,"Amsterdam, NL",Drip Sequence,8183.0,7709.0,498,63,12.65,15.48,2020
1167,Webinar - Thought Leadership 2020,Webinar,2020-02-28,2020-03-27,North America,"Toronto, ON",Thought Leadership,28088.0,22324.0,804,335,41.67,27.77,2020
1168,Paid Search - Google Ads 2020,Paid Search,2020-06-03,2020-07-22,EMEA,"Paris, FR",Google Ads,73947.0,54686.0,269,155,57.62,203.29,2020
1169,SEO - Organic Search 2020,SEO,2020-07-24,2020-09-04,APAC,"Singapore, SG",Organic Search,15204.0,11152.0,127,28,22.05,87.81,2020
1170,Paid Search - Bing Ads 2020,Paid Search,2020-04-22,2020-05-06,North America,"New York, NY",Bing Ads,54832.0,40477.0,634,313,49.37,63.84,2020
1171,Referral - Partner Program 2020,Referral,2020-08-11,2020-09-01,APAC,"Sydney, AU",Partner Program,3902.0,3343.0,746,341,45.71,4.48,2020
1172,Webinar - Product Demo 2020,Webinar,2020-12-17,2020-12-31,North America,"New York, NY",Product Demo,17491.0,13717.0,348,141,40.52,39.42,2020
1173,Webinar - Thought Leadership 2020,Webinar,2020-07-28,2020-08-18,APAC,"Seoul, KR",Thought Leadership,35030.0,35030.0,251,142,56.57,139.56,2020
